"id","content_pagesID","content_text","sidebar_content"
"71","89","test","No"
"72","90","<div align=""center"">Secure welfare<br />Street Outreach<br />and Family mediation<br /></div><br />George is available to provide services to people needing outreach. Including their homes, as well as the streets or secure locations, (such as prisons, secure welfare and detention centres).<br /><br />Forensic Services include:<br /><br /><ul><li>Court advocacy &amp; expert witness</li><li>Drug &amp; alcohol related offences, (including indictable charges, as well as drink or drug driving matters).</li><li>Diversion programs -</li><li>(Drug Court / MERIT / CREDIT)</li><li>Probation and Parole</li></ul><br />All services are provided to people from&nbsp;culturally and linguistically diverse (CALD) backgrounds, including indigenous people.<br /><br /><div align=""center"">All counselling services are invoiced using a sliding scale according to an individual&rsquo;s income.<br /></div><br />Other services (such as reports and health promotion) are quoted over phone according to individual needs. <br />","No"
"73","91","Hello George, I am posting you the evaluation forms from your session on 4 May. As you will see everyone loved it and you were the star of the training program! I am even inspired to bring the Nov training forward a week so you can still be the last session in the program&hellip;Thank you for your excellent session and for sharing your personal experiences. It was greatly appreciated by all of us. Regards Mary<br />Mary Davidson - Principal Training Officer <br />Youth Justice Training Unit. Department of Communities<br /><br />George was informative, approachable, friendly and confident in his knowledge. He presented the topic in an interesting way and allowed enough flexibility for our staff members to ask questions when needed.<br />Shaan Ross &ndash; Dpt of Corrective Services (Southern)<br /><br />Hi George&hellip; I am glad for you that you are moving to QLD but say it is going to be our loss. Thanks for everything you have done for us, the staff at Greensborough still talk about you and the presentation you gave and have without exception said that they have never had drugs explained so well and understandable&hellip;<br />Nancie Marchbank &ndash; Senior Corrections Officer<br />Greensborough Community Correctional Services <br /><br />Hey George, &hellip;I would like to push for the working with drug and alcohol related clients level 2 to be held in Cairns. I fully support the process of treatment that is taught in the session and believe this would be extremely beneficial to all employees working with clients here... Once again, thank you.<br />Bobby - Youth Worker - Cairns Youth Justice<br /><br />Written References available from (Queensland):<br />Gold Coast Drug Council<br />Gold Coast Mental Health and Drug &amp; Alcohol Service<br />Queensland Health &ndash; Dual Diagnosis Clinician<br />Transformation Ministries (AOD Rehab)<br />Fairhaven Detox &ndash; Salvation Army<br />St Monica&rsquo;s College (VIC)<br />Prison Fellowship of Australia (VIC)","No"
"74","94","George Patriki<br /><br />&nbsp;<br />PO Box 1253<br />Palm Beach QLD 4221<br /><br />&nbsp;<br />Mb: 0408 332 765<br /><br />&nbsp;<br />Email: george3777@yahoo.com.au","No"
"75","95","<div id=""main""><div id=""first_post""><h1>Testimonials </h1>Hello George, I am posting you the evaluation forms from your session on 4 May. As you will see everyone loved it and you were the star of the training program! I am even inspired to bring the Nov training forward a week so you can still be the last session in the program&hellip;Thank you for your excellent session and for sharing your personal experiences. It was greatly appreciated by all of us. Regards Mary<br />Mary Davidson - Principal Training Officer <br />Youth Justice Training Unit. Department of Communities<br /><br />George was informative, approachable, friendly and confident in his knowledge. He presented the topic in an interesting way and allowed enough flexibility for our staff members to ask questions when needed.<br />Shaan Ross &ndash; Dpt of Corrective Services (Southern)<br /><br />Hi George&hellip; I am glad for you that you are moving to QLD but say it is going to be our loss. Thanks for everything you have done for us, the staff at Greensborough still talk about you and the presentation you gave and have without exception said that they have never had drugs explained so well and understandable&hellip;<br />Nancie Marchbank &ndash; Senior Corrections Officer<br />Greensborough Community Correctional Services <br /><br />Hey George, &hellip;I would like to push for the working with drug and alcohol related clients level 2 to be held in Cairns. I fully support the process of treatment that is taught in the session and believe this would be extremely beneficial to all employees working with clients here... Once again, thank you.<br />Bobby - Youth Worker - Cairns Youth Justice<br /><br />Written References available from (Queensland):<br />Gold Coast Drug Council<br />Gold Coast Mental Health and Drug &amp; Alcohol Service<br />Queensland Health &ndash; Dual Diagnosis Clinician<br />Transformation Ministries (AOD Rehab)<br />Fairhaven Detox &ndash; Salvation Army<br />St Monica&rsquo;s College (VIC)<br />Prison Fellowship of Australia (VIC)</div></div>","No"
"76","96","<h1>Testimonials </h1>Hello George, I am posting you the evaluation forms from your session on 4 May. As you will see everyone loved it and you were the star of the training program! I am even inspired to bring the Nov training forward a week so you can still be the last session in the program&hellip;Thank you for your excellent session and for sharing your personal experiences. It was greatly appreciated by all of us. Regards Mary<br />Mary Davidson - Principal Training Officer <br />Youth Justice Training Unit. Department of Communities<br /><br />George was informative, approachable, friendly and confident in his knowledge. He presented the topic in an interesting way and allowed enough flexibility for our staff members to ask questions when needed.<br />Shaan Ross &ndash; Dpt of Corrective Services (Southern)<br /><br />Hi George&hellip; I am glad for you that you are moving to QLD but say it is going to be our loss. Thanks for everything you have done for us, the staff at Greensborough still talk about you and the presentation you gave and have without exception said that they have never had drugs explained so well and understandable&hellip;<br />Nancie Marchbank &ndash; Senior Corrections Officer<br />Greensborough Community Correctional Services <br /><br />Hey George, &hellip;I would like to push for the working with drug and alcohol related clients level 2 to be held in Cairns. I fully support the process of treatment that is taught in the session and believe this would be extremely beneficial to all employees working with clients here... Once again, thank you.<br />Bobby - Youth Worker - Cairns Youth Justice<br /><br />Written References available from (Queensland):<br />Gold Coast Drug Council<br />Gold Coast Mental Health and Drug &amp; Alcohol Service<br />Queensland Health &ndash; Dual Diagnosis Clinician<br />Transformation Ministries (AOD Rehab)<br />Fairhaven Detox &ndash; Salvation Army<br />St Monica&rsquo;s College (VIC)<br />Prison Fellowship of Australia (VIC)","No"
"77","97","George Patriki<br /><br />&nbsp;<br />PO Box 1253<br />Palm Beach QLD 4221<br /><br />&nbsp;<br />Mb: 0408 332 765<br /><br />&nbsp;<br />Email: george3777@yahoo.com.au","No"
"83","107","<a href=""http://www.bubblecmslite.com"">Bubble CMS Lite</a>  was designed to fulfill the need of a simple to use content management system that could handle multiple websites in multiple languages. There are multiple modules available for Bubble CMS Lite and we can also customize it to your needs, Creative Web Logic.Net has <a href=""/Web-Design-Development/"">extensive web design knowledge</a>  in many areas expertise from games to email marketing.&nbsp; &nbsp; <br />","No"
"118","181","<p>Periscope <a target=""_blank"" href=""http://www.periscopeconsulting.com.au"">risk management software</a>  helps Australian Business manage their internal and external obligations. The company provides a unique and comprehsive software solution designed to give this data meaning,to make the information useful through administration, reporting and collaboration.</p>  <p style=""text-align: justify"">Their risk software solution is very powerful and flexible, it is also a leading edge management tool that provides enterprise wide solutions for Risk, Quality, Compliance, Documentation, Environmental, OHS, Audits, and Training. Integrated and customisable workflow and risk management tools providing case management,&nbsp; controls, email/task escalation, and Reporting.&nbsp;&nbsp; <br /></p>      ","No"
"84","108","Australian Churches Directory","No"
"85","109","<p>Welcome to the aa sign-up page send your request to <a href=""mailto:aa@clarencevalleynsw.com"">aa@clarencevalleynsw.com</a> <br /></p>","No"
"86","110","Hello World !!

Welcome to Online Website Development Business. We offer custom dynamic design and development systems that are garenteed to provide all the features necessary to fulfill anyones online needs.<br /><br /> We can design and develop in most magor programming languages whether it open source PHP / MySQL or Microsoft's Visual Studio C# and ASP.Net.<br /><br /> With over 30 years in the business their isn't much that we couldn't achieve if we put our minds to it. We also have experience in Linux server administration and offer hosting packages from $2 a month for a shared account to dedicated hardware solutions.<br /><br />
Over the years we have designed many reusable coding products including a website builder / Content Management System also Shopping Cart, Affiliate Marketing and SMS / Email Partner systems. All our systems conform to SEO / SEM knowledge bases and because its custom software it gives that extra advantage.<br /><br />
 We are based in Sydney Australia and can be reached in business hours through the phone of the various other communication systems.
<br /><br />
All projects go through a rigorous planning and development processes, with  systems analysis, specifications, design brief and templating.<br /><br />","No"
"87","111","send a request to <a href=""mailto:aa@clarencevalleynsw.com"">aa@clarencevalleynsw.com</a> <br />","No"
"88","112","Yamba NSW Network Home<br />","No"
"89","116","Thank You For Registering, use the Login link above and put your email and password in and then you will be in the members area. Follow the link to your user details and modify your directory description box and your sub website will be created, for example jims-mowing.yambansw.net. If you already have a website you can enter your address and it will show up on your sub-domain, all we ask is that you please link back to us. That way we all win!<br />","No"
"92","129","Welcome to the Website Development Business Site.<br /><br>
We have been designing web pages now for over 30 years in Sydney Australia.<br>
Years of experience gives us the advantage when building anew or customizing the old. We are experienced in SEO / SEM and cater for them in all our creations. We have a number of dynamic projects that get reused and applied to the specifications needed.<br><br>
We can provide hosting to give your website a home. We have a number of options including CPanel and a website builder software. Just pick your template and add your  content through our BubbleCMS Website Building Software.<br><br>
We are proficient in most open source programming languages such as PHP / MySQL / HTML / CSS and also Microsoft Visual Studio including ASP.Net | C#. <br><br>
For our servers we use Linux primarily and have a number of servers that we manage our site network with. We also have experience with Microsoft Server Software.<br><br>
For online business we have experience in Multi Level Marketing, Email solutions, Casino Games and Affiliate / Merchant Incentive Programs. We have had years of experience in the travel industry or even dating sites.<br><br>
Also going with your online presence we have developed many automated payment gateway solutions.
","No"
"91","127","Welcome To The Australian Business Directory. Follow the menu above to register.<br />","No"
"93","126","Thanks for registering","No"
"94","137","Thanks for registering","No"
"95","122","Welcome member","No"
"96","133","Welcome member","No"
"97","140","<a title=""Manage Multiple Websites From A Single Location"" href=""http://www.managewebsites.com.au"">ManageWebsites.com.au</a> brings you a CMS that easily enables you to manage multiple websites in multiple languages from a single location. This is a customised service designed to appeal to a wide range of Australian and International business. The solution builds new websites and content dynamically. Aimed at the business professional looking to develop online content and search engine promotion.&nbsp; A real-time, simple to use websites system design to improve your website rankings and promote your online content. <br /><br />A Perfect solution for business individuals and corporate, promote your products and services through a very easy to use centralised website management system for your network of sites. Our CMS&nbsp;allows you to include&nbsp;add websites,&nbsp;pages, edit, Latest news area/Specials, create key word rich content and make your new website solution relevant to your marketing strategy.<br /><br />A real-time,&nbsp;simple to use websites system design to promote online content and website rankings. We recommend and will install, Google analytics, so that you can monitor and modify your own websites.","No"
"98","141","<span style=""font-family: 'Verdana','sans-serif'""><span style=""font-family: 'Verdana','sans-serif'""><p>We use a <span style=""font-family: 'Verdana','sans-serif'""><span style=""font-family: 'Verdana','sans-serif'"">proven</span></span> and <span style=""font-family: 'Verdana','sans-serif'""><span style=""font-family: 'Verdana','sans-serif'"">simple</span></span> methodology&nbsp;for the management of our software development process. Typically we will work with between 10 and 50 tasks within the development process. This creates an clear and open communication timeline between you the stakeholder and us the developers. Professionalism is of paramount importance to us, creating clear and easily understandable goals and time frames for the project so there is no misunderstandings in the development process.&nbsp; <br /></p><p>This project managed schedule becomes the key to understanding our workflow and when you can expect the activities to be completed. <span style=""font-family: 'Verdana','sans-serif'""><span style=""font-family: 'Verdana','sans-serif'"">The project&nbsp;will be completed in a maximum of 12 weeks. </span></span>Our aim is to complete your new website solution as quickly as possible, given the key restraint of quality. <br /></p><ul class=""unIndentedList""><li>Hosting.</li><li>Supply us with content or we create the initial content for you.</li><li>Launch design in 4-6 weeks.</li><li>Completed websites in 12 weeks.</li><li>Our major&nbsp;milestone&nbsp;is the completion of your design template.</li></ul></span></span>","No"
"99","142"," <p>Welcome to Reduce Fuel Consumption,</p> <p>Fuel is expensive and because of the <a href=""http://peakoil.toho9000.com"">peak oil crisis </a> will cost even more. Our sponsers <a href=""http://www.toho9000.com"">TOHO9000 High Performance Car and Truck Engine Oil Treatment</a> have found a way to reduce your fuel consumption and increase engine power by 10%.</p><p>Regular engine oil is liquid, but as shown on the diagram, the gathering micro particles smaller than 1/100 micron are freely moving. As these microscopic particles mixed with the oxide, the carbon, or the sulfuric acid, they will grow into much bigger particles. As the particles become bigger, each particle increases in viscosity. Therefore, the particles can't go through the oil filter, causing the filter to lose its effect. Thus, the regular engine oil is not useful. Using <a href=""http://www.toho9000.com"">TOHO 9000</a>  in the regular engine oil controls the particles from growing, making it easier to go through the filter and maintaining its high performance.<br />   <br /> TOHO 900 oil particles are 3A and 5A, and that of regular engine oil 100A. The TOHO 9000 particles can penetrate deep into the internal metal parts of the engine, strongly performing its cleaning action, anti-rust protection and anticorrosion effect               </p><p align=""center""><img height=""234"" border=""0"" width=""350"" src=""http://toho9000.com/Pics/what2.jpg"" /> <img height=""227"" border=""0"" width=""250"" src=""http://toho9000.com/Pics/what3.jpg"" /></p>               <p align=""left"">When TOHO 9000 is added to regular engine oil, ester micro particles can suppress the gathering of regular engine oil particles and the bigger particles are being surrounded by the polarity particles, stopping the bigger particles from growing. <br /></p>The dispersion/dissociation effect of TOHO 9000 will cause the oil particles diameter to be less than 1 micron. The oil filter will not be blocked even after a long usage (the size of the filter&rsquo;s pore is one micron). Since the oil particles do not stick to the filter, it can reduce oil consumption and keep the environment clean by huge reduction in waste oil disposal. If TOHO 9000 is added to regular engine oil, oil filter&rsquo;s life span can be extended 4 to 10 times longer. Even though the sludge carbon will float in the oil as micro particles, causing the colour of the oil to turn black, this does not mean that the oil has degraded. It still remains useful.               <ul><li>                   <div align=""left""><strong>Clean the internal parts of engine</strong><br />       Keeps lubricating the internal parts of engine.<br />       Reduces wear and tear of piston ring.<br />       Lowers sludge formation behind piston rings to reduce sticking.</div>                 </li><li>                   <div align=""left""><strong>Economical</strong><br /> TOHO 9000 will not be evaporated even in high temperature. Most of the regular engine oil stick on the cylinder metal, oil is vaporized by high temperature. Replenish oil loss, the regular engine oil must be constantly added in.<br /> TOHO 9000 does not evaporate thus r<a href=""http://motoroiltreatment.toho9000.com"">educe oil consumption</a> . TOHO 9000 has lower than a half of its friction compared to the regular engine oil. Therefore, the engine moves smoothly without wasting oil, with <a href=""http://highperformanceoil.toho9000.com "">increased engine horsepower</a> , RPM and decreased exhaust temperature.</div>                 </li></ul><p>&nbsp; </p> ","No"
"100","143","Computer Programming For Over 30 Years.","No"
"101","144","Welcome to Ozzy Website Development. We are based in Sydney Australia.<br />","No"
"102","145","<p class=""MainText"">Periscope Consulting ENTERPRISE <a href=""http://www.periscopeconsulting.com.au/"" target=""_blank"">Risk Management Software</a> and Compliance Management.</p><p><span class=""MainText""><br />Business compliance requires shared responsibilities and security profiles when looking at corporate infrastructure. Periscope consulting providesfully Integrated Software Solutions for integrated compliance management. Configuring systems for Risk, Quality, OH&amp;S, Environment and Documents is what periscope does best. Periscope delivers comprehensive software that enables your valuable data and information,<br />to facilitate greater integration between your systems and processes.<br /><br />*Generate simple to comprehensive dynamic reports through crystal reports<br />*Automatically schedule emails, events and task with email alerts.<br />*Configureable, screens, workflows &amp; emails for all your compliance obligations<br />*Observe Audits, Corrective Actions, Business Contracts, link objects, or such activities as workflow, emails, etc</span><br /><br /></p>","No"
"103","146","Creative Web Logic has developed a  multiple website CMS (Content Management System) that from a single administration you can manage networks of SEO (Search Engine Optimized) points of internet presence. ","No"
"3102","325","Welcome to your homepage.","No"
"3103","326","Welcome To CWLNet Directory Entry","No"
"3104","327"," Email: <a href=""mailto:dpr@icwl.me"">dpr@icwl.me</a><br> Phone: 61280033457<br> Social:<br> <a>Skype</a><br> <a href=""https://g.dev/cwl"">Google Developer</a><br> <a rel=""ugc nofollow"" title=""https://www.facebook.com/Icwl.me"" class=""urlextern"" href=""https://www.facebook.com/Icwl.me"">iCWL.Net Facebook</a><br> <a rel=""ugc nofollow"" title=""https://twitter.com/daniel_ruul"" class=""urlextern"" href=""https://twitter.com/daniel_ruul"">Twitter</a><br> <a rel=""ugc nofollow"" title=""http://www.tiktok.com/@danielruul"" class=""urlextern"" href=""http://www.tiktok.com/@danielruul"">Tick Tock</a><br> <a rel=""ugc nofollow"" title=""https://www.linkedin.com/company/creative-web-logic/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3B7lvDVqY0SZmV8HnzC3Giuw%3D%3D"" class=""urlextern"" href=""https://www.linkedin.com/company/creative-web-logic/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3B7lvDVqY0SZmV8HnzC3Giuw%3D%3D"">Linked In</a><br>","No"
"104","147","hello","No"
"105","149","Empower Your Creativity with Bubble CMS Lite: The Ultimate Website Builder Software<br>
<br>
Welcome to the Bubble CMS Lite - Website Building Software.<br>
<br>
In the dynamic digital landscape of today, a compelling online presence is crucial for success. Whether you're a business owner, creative professional, or an aspiring blogger, having a visually appealing and functional website is key to engaging your audience. Introducing Bubble CMS Lite, the ultimate website builder software designed to empower your creativity and simplify the process of bringing your vision to life.<br>
<br>
The Power of Simplicity:<br>
<br>

Bubble CMS Lite stands out for its user-friendly interface and intuitive design, making it the perfect choice for users of all skill levels. You don't need to be a coding expert to create a stunning website – Bubble CMS Lite empowers you to build and customize your site effortlessly. With drag-and-drop functionality, you can easily arrange elements, add content, and personalize your website with just a few clicks.<br>
<br>
Responsive Design for Every Device:<br>
<br>

In today's mobile-centric world, it's essential that your website looks fantastic on any device. Bubble CMS Lite ensures a seamless user experience by providing responsive design features. Your website will automatically adjust to different screen sizes, ensuring that visitors on smartphones, tablets, and desktops have an optimal viewing experience.<br>
<br>
Rich Content Management:<br>
<br>

Content is king, and Bubble CMS Lite understands the importance of delivering fresh and engaging material to your audience. With an easy-to-use content management system (CMS), you can update your website with text, images, and multimedia effortlessly. Schedule posts, create blog entries, and showcase your portfolio – Bubble CMS Lite gives you the tools to keep your content dynamic and relevant.<br>
<br>
Stunning Templates:<br>
<br>

Not everyone has the time or design expertise to create a website from scratch. Bubble CMS Lite provides a collection of professionally designed templates that cater to various industries and purposes. Choose a template that aligns with your vision, and then customize it to suit your brand. The result? A polished, visually appealing website that reflects your unique style and identity.
Robust E-commerce Capabilities:<br>
<br>

For entrepreneurs looking to sell products or services online, Bubble CMS Lite offers robust e-commerce capabilities. Easily set up your online store, manage inventory, and process transactions securely. With integrated payment gateways and customizable product pages, turning your website into a powerful e-commerce platform has never been easier.<br>
<br>
SEO-Friendly Architecture:<br>
<br>

Achieving visibility on search engines is crucial for attracting organic traffic to your website. Bubble CMS Lite is built with SEO in mind, allowing you to optimize your content for search engines effortlessly. From customizable meta tags to clean URL structures, you have the tools to improve your website's search engine rankings and drive more visitors to your site.<br>
<br>
Dedicated Support and Updates:<br>
<br>

At Bubble CMS Lite, we understand that your journey doesn't end with the creation of your website. Our dedicated support team is ready to assist you with any questions or issues you may encounter along the way. Additionally, we regularly update our software to provide you with the latest features and security enhancements, ensuring that your website stays ahead of the curve.<br>
<br>
Conclusion:<br>
<br>

Empower your creativity and streamline your website-building process with Bubble CMS Lite. Whether you're a beginner or an experienced web designer, our user-friendly interface, responsive design, rich content management, stunning templates, e-commerce capabilities, SEO-friendly architecture, and dedicated support make us the ultimate choice for bringing your online vision to life. Join the growing community of satisfied users who have transformed their ideas into captivating websites with Bubble CMS Lite. Start building your dream website today!","No"
"132","200","Welcome to BizFurnace. we specialize in Cms or Content Management Software,","No"
"133","202","Home Server","No"
"106","150","<p>Welcome to the Maclean NSW Business Network. Maclean is the Scottish town in Australia and is a cosy little town not far from <a href=""http://www.yambansw.net"">Yamba</a>  next to the mighty Clarence River in Northern NSW. The Maclean Business Network has been created to service business promotion on the internet. Its free to register, just follow the above link and then login to edit your details. You will be given a free Sub Site e.g. jims-mowing.maclean-nsw.com. Maclean is about 45min north of <a href=""http://www.grafton-nsw.com"">Grafton</a>  by car.</p><br />","No"
